北京4K组播,#genre#
北京卫视 4K,http://223.72.47.86:4022/rtp/228.1.1.235:8002
东方卫视 4K,http://223.72.47.86:4022/rtp/228.1.1.43:3006
广东卫视 4K,http://223.72.47.86:4022/rtp/228.1.1.241:2000
深圳卫视 4K,http://223.72.47.86:4022/rtp/228.1.1.240:2000
湖南卫视 4K,http://223.72.47.86:4022/rtp/228.1.1.40:3002
山东卫视 4K,http://223.72.47.86:4022/rtp/228.1.1.46:3006
四川卫视 4K,http://223.72.47.86:4022/rtp/228.1.1.47:3000
浙江卫视 4K,http://223.72.47.86:4022/rtp/228.1.1.45:3004
江苏卫视 4K,http://223.72.47.86:4022/rtp/228.1.1.41:3002
爱上 4K,http://223.72.47.86:4022/rtp/228.1.1.38:2000
北京4K超清,http://223.72.47.86:4022/rtp/228.1.1.123:8001
