北京其他,#genre#
北京纪实科教8K,http://223.72.47.86:4022/rtp/228.1.1.217:8002
CHC动作电影,http://223.72.47.86:4022/rtp/228.1.1.238:7000
茶频道,http://223.72.47.86:4022/rtp/228.1.1.145:8002
金鹰纪实,http://223.72.47.86:4022/rtp/228.1.1.34:8156
国学,http://223.72.47.86:4022/rtp/228.1.1.158:4120
快乐垂钓,http://223.72.47.86:4022/rtp/228.1.1.144:8002
中国交通,http://223.72.47.86:4022/rtp/228.1.1.222:8002
卡酷少儿,http://223.72.47.86:4022/rtp/228.1.1.195:8000
北京新闻,http://223.72.47.86:4022/rtp/228.1.1.189:8000
北京生活,http://223.72.47.86:4022/rtp/228.1.1.198:8000
北京影视,http://223.72.47.86:4022/rtp/228.1.1.190:8000
北京文艺,http://223.72.47.86:4022/rtp/228.1.1.116:8000
北京体育休闲,http://223.72.47.86:4022/rtp/228.1.1.117:8000
北京纪实科教,http://223.72.47.86:4022/rtp/228.1.1.196:8000
北京财经,http://223.72.47.86:4022/rtp/228.1.1.197:8000
北京国际,http://223.72.47.86:4022/rtp/228.1.1.111:8000
北京朝阳,http://223.72.47.86:4022/rtp/228.1.1.140:8001
北京房山,http://223.72.47.86:4022/rtp/228.1.1.139:8001
淘电影,http://223.72.47.86:4022/rtp/228.1.1.124:8001
淘剧场,http://223.72.47.86:4022/rtp/228.1.1.126:8001
淘娱乐,http://223.72.47.86:4022/rtp/228.1.1.133:8001
淘baby,http://223.72.47.86:4022/rtp/228.1.1.128:8001
萌宠TV,http://223.72.47.86:4022/rtp/228.1.1.135:8002
睛彩竞技,http://223.72.47.86:4022/rtp/228.1.1.223:8002
睛彩广场舞,http://223.72.47.86:4022/rtp/228.1.1.226:8002
睛彩篮球,http://223.72.47.86:4022/rtp/228.1.1.224:8002
睛彩青少,http://223.72.47.86:4022/rtp/228.1.1.225:8002
古装剧场,http://223.72.47.86:4022/rtp/228.1.1.150:4120
军旅剧场,http://223.72.47.86:4022/rtp/228.1.1.149:4120
IPTV少儿动画,http://223.72.47.86:4022/rtp/228.1.1.83:9000
IPTV热播剧场,http://223.72.47.86:4022/rtp/228.1.1.88:9020
IPTV经典电影,http://223.72.47.86:4022/rtp/228.1.1.89:9024
IPTV魅力时尚,http://223.72.47.86:4022/rtp/228.1.1.86:9012
城市剧场,http://223.72.47.86:4022/rtp/228.1.1.148:4120
音乐现场,http://223.72.47.86:4022/rtp/228.1.1.151:4120
地理,http://223.72.47.86:4022/rtp/228.1.1.152:4120
美妆,http://223.72.47.86:4022/rtp/228.1.1.153:4120
精选,http://223.72.47.86:4022/rtp/228.1.1.154:4120
精选,http://223.72.47.86:4022/rtp/228.1.1.155:4120
解密,http://223.72.47.86:4022/rtp/228.1.1.156:4120
军事,http://223.72.47.86:4022/rtp/228.1.1.157:4120
戏曲,http://223.72.47.86:4022/rtp/228.1.1.159:4120
早教,http://223.72.47.86:4022/rtp/228.1.1.160:4120
动画,http://223.72.47.86:4022/rtp/228.1.1.161:4120
好学生,http://223.72.47.86:4022/rtp/228.1.1.162:4120
鉴赏,http://223.72.47.86:4022/rtp/228.1.1.163:4120
墨宝,http://223.72.47.86:4022/rtp/228.1.1.164:4120
光影,http://223.72.47.86:4022/rtp/228.1.1.165:4120
爱生活,http://223.72.47.86:4022/rtp/228.1.1.167:4120
武术,http://223.72.47.86:4022/rtp/228.1.1.168:4120
足球,http://223.72.47.86:4022/rtp/228.1.1.170:4120
武侠剧场,http://223.72.47.86:4022/rtp/228.1.1.171:4120
喜剧影院,http://223.72.47.86:4022/rtp/228.1.1.172:4120
动作影院,http://223.72.47.86:4022/rtp/228.1.1.173:4120
家庭影院,http://223.72.47.86:4022/rtp/228.1.1.174:4120
星影,http://223.72.47.86:4022/rtp/228.1.1.175:4120
CFTN阿语,http://223.72.47.86:4022/rtp/228.1.1.208:4220
IPTV收视指南,http://223.72.47.86:4022/rtp/228.1.1.108:8012
古早影院,http://223.72.47.86:4022/rtp/228.1.1.169:4120
四大名著剧场,http://223.72.47.86:4022/rtp/228.1.1.166:4120
重温经典,http://223.72.47.86:4022/rtp/228.1.1.237:8002
金鹰卡通,http://223.72.47.86:4022/rtp/228.1.1.92:9252
嘉佳卡通,http://223.72.47.86:4022/rtp/228.1.1.93:9268
北京延庆,http://223.72.47.86:4022/rtp/228.1.1.219:8002
财富天下,http://223.72.47.86:4022/rtp/228.1.1.90:9136
