重庆4K组播,#genre#
北京卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.50:7980
东方卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.190:7980
广东卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.55:7980
深圳卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.56:7980
湖南卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.196:7980
湖南卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.52:7980
山东卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.195:7980
四川卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.197:7980
浙江卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.194:7980
江苏卫视 4K,http://14.110.108.250:8188/rtp/235.254.197.191:7980
华数电影 4K,http://14.110.108.250:8188/rtp/235.254.198.102:7980
华数电影 4K,http://14.110.108.250:8188/rtp/235.254.199.102:7980
