四川其他,#genre#
SCTV-2,http://175.152.156.44:2715/rtp/239.0.0.2:5140
SCTV-3,http://175.152.156.44:2715/rtp/239.0.0.3:5140
SCTV-4,http://175.152.156.44:2715/rtp/239.0.0.4:5140
SCTV-5,http://175.152.156.44:2715/rtp/239.0.0.5:5140
SCTV-6,http://175.152.156.44:2715/rtp/239.0.0.6:5140
SCTV-7,http://175.152.156.44:2715/rtp/239.0.0.7:5140
SCTV-科教,http://175.152.156.44:2715/rtp/239.0.0.186:5140
SCTV-9,http://175.152.156.44:2715/rtp/239.0.0.8:5140
峨眉电影,http://175.152.156.44:2715/rtp/239.0.0.9:5140
中国交通,http://175.152.156.44:2715/rtp/239.0.0.143:5140
金鹰纪实,http://175.152.156.44:2715/rtp/239.0.0.69:5140
北京纪实科教,http://175.152.156.44:2715/rtp/239.0.0.77:5140
中国教育频道,http://175.152.156.44:2715/rtp/239.0.0.51:5140
西藏藏语频道,http://175.152.156.44:2715/rtp/239.0.0.105:5140
金鹰卡通,http://175.152.156.44:2715/rtp/239.0.0.95:5140
卡酷动画,http://175.152.156.44:2715/rtp/239.0.0.75:5140
山东教育,http://175.152.156.44:2715/rtp/239.0.0.197:5140
CHC家庭影院,http://175.152.156.44:2715/rtp/239.0.0.23:5140
CHC动作影院,http://175.152.156.44:2715/rtp/239.0.0.24:5140
CHC影院,http://175.152.156.44:2715/rtp/239.0.0.25:5140
精彩影视,http://175.152.156.44:2715/rtp/239.0.0.26:5140
老故事,http://175.152.156.44:2715/rtp/239.0.0.27:5140
动漫秀场,http://175.152.156.44:2715/rtp/239.0.0.28:5140
中学生,http://175.152.156.44:2715/rtp/239.0.0.29:5140
乐游,http://175.152.156.44:2715/rtp/239.0.0.30:5140
书画,http://175.152.156.44:2715/rtp/239.0.0.31:5140
金色学堂,http://175.152.156.44:2715/rtp/239.0.0.32:5140
法治天地,http://175.152.156.44:2715/rtp/239.0.0.33:5140
财富天下,http://175.152.156.44:2715/rtp/239.0.0.34:5140
茶频道,http://175.152.156.44:2715/rtp/239.0.0.36:5140
先锋乒羽,http://175.152.156.44:2715/rtp/239.0.0.37:5140
快乐垂钓,http://175.152.156.44:2715/rtp/239.0.0.40:5140
CDTV-1,http://175.152.156.44:2715/rtp/239.0.0.144:5140
CDTV-5,http://175.152.156.44:2715/rtp/239.0.0.161:5140
CDTV-2,http://175.152.156.44:2715/rtp/239.0.0.162:5140
CDTV-3,http://175.152.156.44:2715/rtp/239.0.0.163:5140
CDTV-4,http://175.152.156.44:2715/rtp/239.0.0.164:5140
CDTV-6,http://175.152.156.44:2715/rtp/239.0.0.165:5140
CDTV-8,http://175.152.156.44:2715/rtp/239.0.0.160:5140
自贡综合,http://175.152.156.44:2715/rtp/239.0.0.123:5140
自贡文化生活,http://175.152.156.44:2715/rtp/239.0.0.97:5140
攀枝花新闻综合,http://175.152.156.44:2715/rtp/239.0.0.124:5140
泸州新闻,http://175.152.156.44:2715/rtp/239.0.0.125:5140
泸州科教生活,http://175.152.156.44:2715/rtp/239.0.0.86:5140
德阳公共,http://175.152.156.44:2715/rtp/239.0.0.138:5140
德阳新闻综合,http://175.152.156.44:2715/rtp/239.0.0.82:5140
绵阳综合,http://175.152.156.44:2715/rtp/239.0.0.121:5140
绵阳科教生活,http://175.152.156.44:2715/rtp/239.0.0.88:5140
广元综合,http://175.152.156.44:2715/rtp/239.0.0.126:5140
广元文化生活,http://175.152.156.44:2715/rtp/239.0.0.84:5140
遂宁新闻综合,http://175.152.156.44:2715/rtp/239.0.0.127:5140
遂宁文化生活,http://175.152.156.44:2715/rtp/239.0.0.92:5140
内江综合,http://175.152.156.44:2715/rtp/239.0.0.128:5140
内江科教生活,http://175.152.156.44:2715/rtp/239.0.0.90:5140
乐山新闻综合,http://175.152.156.44:2715/rtp/239.0.0.129:5140
乐山文旅生活,http://175.152.156.44:2715/rtp/239.0.0.85:5140
南充综合,http://175.152.156.44:2715/rtp/239.0.0.176:5140
南充科教生活,http://175.152.156.44:2715/rtp/239.0.0.89:5140
眉山综合,http://175.152.156.44:2715/rtp/239.0.0.130:5140
眉山文旅乡村,http://175.152.156.44:2715/rtp/239.0.0.87:5140
宜宾新闻综合,http://175.152.156.44:2715/rtp/239.0.0.131:5140
宜宾科教文旅,http://175.152.156.44:2715/rtp/239.0.0.94:5140
广安新闻综合,http://175.152.156.44:2715/rtp/239.0.0.132:5140
广安文旅乡村,http://175.152.156.44:2715/rtp/239.0.0.83:5140
达州新闻综合,http://175.152.156.44:2715/rtp/239.0.0.133:5140
达州文化生活,http://175.152.156.44:2715/rtp/239.0.0.81:5140
雅安新闻综合,http://175.152.156.44:2715/rtp/239.0.0.140:5140
雅安文化生活,http://175.152.156.44:2715/rtp/239.0.0.93:5140
巴中综合,http://175.152.156.44:2715/rtp/239.0.0.139:5140
巴中文旅生活,http://175.152.156.44:2715/rtp/239.0.0.80:5140
资阳新闻综合,http://175.152.156.44:2715/rtp/239.0.0.134:5140
阿坝新闻综合,http://175.152.156.44:2715/rtp/239.0.0.141:5140
阿坝藏语图文,http://175.152.156.44:2715/rtp/239.0.0.142:5140
甘孜综合,http://175.152.156.44:2715/rtp/239.0.0.135:5140
凉山新闻综合,http://175.152.156.44:2715/rtp/239.0.0.136:5140
凉山彝语综合,http://175.152.156.44:2715/rtp/239.0.0.137:5140
