四川4K组播,#genre#
CCTV4K,http://118.112.148.81:58888/rtp/239.94.0.20:5140
CCTV4K,http://61.157.196.13:8888/rtp/239.94.0.20:5140
北京卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.111:5140
北京卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.112:5140
北京卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.111:5140
北京卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.112:5140
东方卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.119:5140
东方卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.119:5140
广东卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.114:5140
广东卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.114:5140
深圳卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.113:5140
深圳卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.113:5140
湖南卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.116:5140
湖南卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.116:5140
山东卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.120:5140
山东卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.120:5140
四川卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.115:5140
四川卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.115:5140
浙江卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.118:5140
浙江卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.118:5140
江苏卫视 4K,http://118.112.148.81:58888/rtp/239.94.0.117:5140
江苏卫视 4K,http://61.157.196.13:8888/rtp/239.94.0.117:5140
欢笑剧场 4K,http://118.112.148.81:58888/rtp/239.94.1.176:5140
欢笑剧场 4K,http://61.157.196.13:8888/rtp/239.94.1.176:5140
爱上 4K,http://118.112.148.81:58888/rtp/239.94.0.21:5140
爱上 4K,http://61.157.196.13:8888/rtp/239.94.0.21:5140
乐享超清 4K,http://118.112.148.81:58888/rtp/239.94.1.162:5140
乐享超清 4K,http://61.157.196.13:8888/rtp/239.94.1.162:5140
少儿 4K,http://118.112.148.81:58888/rtp/239.94.1.70:5140
少儿 4K,http://61.157.196.13:8888/rtp/239.94.1.70:5140
纪实 4K,http://118.112.148.81:58888/rtp/239.94.1.69:5140
纪实 4K,http://61.157.196.13:8888/rtp/239.94.1.69:5140
视界 4K,http://118.112.148.81:58888/rtp/239.94.1.60:5140
