四川组播,#genre#
CCTV1,http://118.112.148.81:58888/rtp/239.94.0.1:5140
CCTV1,http://118.112.148.81:58888/rtp/239.94.2.34:5140
CCTV1,http://118.112.148.81:58888/rtp/239.94.1.18:5140
CCTV1,http://118.112.148.81:58888/rtp/239.94.1.151:5140
CCTV1,http://118.112.148.81:58888/rtp/239.94.0.31:5140
CCTV2,http://118.112.148.81:58888/rtp/239.94.2.70:5140
CCTV2,http://118.112.148.81:58888/rtp/239.94.0.2:5140
CCTV2,http://118.112.148.81:58888/rtp/239.94.2.35:5140
CCTV2,http://118.112.148.81:58888/rtp/239.94.2.147:5140
CCTV2,http://61.157.196.13:8888/rtp/239.94.2.70:5140
CCTV3,http://118.112.148.81:58888/rtp/239.94.0.32:5140
CCTV3,http://118.112.148.81:58888/rtp/239.94.0.3:5140
CCTV3,http://118.112.148.81:58888/rtp/239.94.2.148:5140
CCTV3,http://61.157.196.13:8888/rtp/239.94.0.32:5140
CCTV3,http://61.157.196.13:8888/rtp/239.94.0.3:5140
CCTV4,http://118.112.148.81:58888/rtp/239.94.0.4:5140
CCTV4,http://118.112.148.81:58888/rtp/239.94.2.149:5140
CCTV4,http://61.157.196.13:8888/rtp/239.94.0.4:5140
CCTV4,http://61.157.196.13:8888/rtp/239.94.2.149:5140
CCTV5,http://118.112.148.81:58888/rtp/239.94.0.33:5140
CCTV5,http://118.112.148.81:58888/rtp/239.94.2.30:5140
CCTV5,http://118.112.148.81:58888/rtp/239.94.0.5:5140
CCTV5,http://118.112.148.81:58888/rtp/239.94.2.150:5140
CCTV5,http://61.157.196.13:8888/rtp/239.94.0.33:5140
CCTV5+,http://118.112.148.81:58888/rtp/239.94.0.19:5140
CCTV5+,http://118.112.148.81:58888/rtp/239.94.0.23:5140
CCTV5+,http://61.157.196.13:8888/rtp/239.94.0.19:5140
CCTV5+,http://61.157.196.13:8888/rtp/239.94.0.23:5140
CCTV6,http://118.112.148.81:58888/rtp/239.94.0.6:5140
CCTV6,http://118.112.148.81:58888/rtp/239.94.2.33:5140
CCTV6,http://118.112.148.81:58888/rtp/239.94.0.34:5140
CCTV6,http://118.112.148.81:58888/rtp/239.94.2.151:5140
CCTV6,http://61.157.196.13:8888/rtp/239.94.0.6:5140
CCTV7,http://118.112.148.81:58888/rtp/239.94.0.7:5140
CCTV7,http://118.112.148.81:58888/rtp/239.94.2.152:5140
CCTV7,http://61.157.196.13:8888/rtp/239.94.0.7:5140
CCTV7,http://61.157.196.13:8888/rtp/239.94.2.152:5140
CCTV8,http://118.112.148.81:58888/rtp/239.94.0.8:5140
CCTV8,http://118.112.148.81:58888/rtp/239.94.0.35:5140
CCTV8,http://118.112.148.81:58888/rtp/239.94.2.29:5140
CCTV8,http://118.112.148.81:58888/rtp/239.94.2.153:5140
CCTV8,http://61.157.196.13:8888/rtp/239.94.0.8:5140
CCTV9,http://118.112.148.81:58888/rtp/239.94.2.32:5140
CCTV9,http://118.112.148.81:58888/rtp/239.94.0.9:5140
CCTV9,http://118.112.148.81:58888/rtp/239.94.2.154:5140
CCTV9,http://61.157.196.13:8888/rtp/239.94.2.32:5140
CCTV9,http://61.157.196.13:8888/rtp/239.94.0.9:5140
CCTV10,http://118.112.148.81:58888/rtp/239.94.0.10:5140
CCTV10,http://118.112.148.81:58888/rtp/239.94.2.31:5140
CCTV10,http://118.112.148.81:58888/rtp/239.94.2.155:5140
CCTV10,http://61.157.196.13:8888/rtp/239.94.0.10:5140
CCTV10,http://61.157.196.13:8888/rtp/239.94.2.31:5140
CCTV11,http://118.112.148.81:58888/rtp/239.94.0.11:5140
CCTV11,http://118.112.148.81:58888/rtp/239.94.0.36:5140
CCTV11,http://118.112.148.81:58888/rtp/239.94.2.156:5140
CCTV11,http://61.157.196.13:8888/rtp/239.94.0.11:5140
CCTV11,http://61.157.196.13:8888/rtp/239.94.0.36:5140
CCTV12,http://118.112.148.81:58888/rtp/239.94.0.12:5140
CCTV12,http://118.112.148.81:58888/rtp/239.94.2.157:5140
CCTV12,http://61.157.196.13:8888/rtp/239.94.0.12:5140
CCTV12,http://61.157.196.13:8888/rtp/239.94.2.157:5140
CCTV13,http://118.112.148.81:58888/rtp/239.94.0.13:5140
CCTV13,http://118.112.148.81:58888/rtp/239.94.0.37:5140
CCTV13,http://118.112.148.81:58888/rtp/239.94.2.158:5140
CCTV13,http://61.157.196.13:8888/rtp/239.94.0.13:5140
CCTV13,http://61.157.196.13:8888/rtp/239.94.0.37:5140
CCTV14,http://118.112.148.81:58888/rtp/239.94.0.14:5140
CCTV14,http://118.112.148.81:58888/rtp/239.94.2.159:5140
CCTV14,http://61.157.196.13:8888/rtp/239.94.0.14:5140
CCTV14,http://61.157.196.13:8888/rtp/239.94.2.159:5140
CCTV15,http://118.112.148.81:58888/rtp/239.94.0.15:5140
CCTV15,http://118.112.148.81:58888/rtp/239.94.0.38:5140
CCTV15,http://118.112.148.81:58888/rtp/239.94.2.160:5140
CCTV15,http://61.157.196.13:8888/rtp/239.94.0.15:5140
CCTV15,http://61.157.196.13:8888/rtp/239.94.0.38:5140
CCTV17,http://118.112.148.81:58888/rtp/239.94.0.39:5140
CCTV17,http://118.112.148.81:58888/rtp/239.94.0.17:5140
CCTV17,http://118.112.148.81:58888/rtp/239.94.2.161:5140
CCTV17,http://61.157.196.13:8888/rtp/239.94.0.39:5140
CCTV17,http://61.157.196.13:8888/rtp/239.94.0.17:5140
CETV1,http://118.112.148.81:58888/rtp/239.94.1.2:5140
CETV1,http://61.157.196.13:8888/rtp/239.94.1.2:5140
CETV4,http://118.112.148.81:58888/rtp/239.94.1.20:5140
CETV4,http://61.157.196.13:8888/rtp/239.94.1.20:5140
CGTN,http://118.112.148.81:58888/rtp/239.94.0.22:5140
