内蒙古4K组播,#genre#
CCTV16 4K,http://116.114.141.15:8686/rtp/239.125.2.218:4120
CCTV16 4K,http://1.30.47.10:7000/rtp/239.125.2.218:4120
北京卫视 4K,http://116.114.141.15:8686/rtp/239.125.2.105:4120
北京卫视 4K,http://1.30.47.10:7000/rtp/239.125.2.105:4120
东方卫视 4K,http://116.114.141.15:8686/rtp/239.125.1.235:4120
东方卫视 4K,http://1.30.47.10:7000/rtp/239.125.1.235:4120
广东卫视 4K,http://116.114.141.15:8686/rtp/239.125.1.224:4120
广东卫视 4K,http://1.30.47.10:7000/rtp/239.125.1.224:4120
深圳卫视 4K,http://116.114.141.15:8686/rtp/239.125.1.223:4120
深圳卫视 4K,http://1.30.47.10:7000/rtp/239.125.1.223:4120
湖南卫视 4K,http://116.114.141.15:8686/rtp/239.125.1.232:4120
湖南卫视 4K,http://1.30.47.10:7000/rtp/239.125.1.232:4120
山东卫视 4K,http://116.114.141.15:8686/rtp/239.125.1.237:4120
山东卫视 4K,http://1.30.47.10:7000/rtp/239.125.1.237:4120
四川卫视 4K,http://116.114.141.15:8686/rtp/239.125.1.236:4120
四川卫视 4K,http://1.30.47.10:7000/rtp/239.125.1.236:4120
浙江卫视 4K,http://116.114.141.15:8686/rtp/239.125.1.234:4120
浙江卫视 4K,http://1.30.47.10:7000/rtp/239.125.1.234:4120
江苏卫视 4K,http://116.114.141.15:8686/rtp/239.125.1.233:4120
江苏卫视 4K,http://1.30.47.10:7000/rtp/239.125.1.233:4120
北京4K组播,#genre#
北京卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.140:8001
北京卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.139:8001
东方卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.119:3006
东方卫视 4K,http://221.219.99.74:8005/rtp/239.3.1.119:3006
广东卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.203:2000
广东卫视 4K,http://221.219.99.74:8005/rtp/239.3.1.203:2000
深圳卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.202:2000
深圳卫视 4K,http://221.219.99.74:8005/rtp/239.3.1.202:2000
湖南卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.112:3002
湖南卫视 4K,http://221.219.99.74:8005/rtp/239.3.1.112:3002
山东卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.144:3005
山东卫视 4K,http://221.219.99.74:8005/rtp/239.3.1.144:3005
四川卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.131:3001
四川卫视 4K,http://221.219.99.74:8005/rtp/239.3.1.131:3001
浙江卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.114:3004
浙江卫视 4K,http://221.219.99.74:8005/rtp/239.3.1.114:3004
江苏卫视 4K,http://221.223.18.142:8888/rtp/239.3.1.113:3003
江苏卫视 4K,http://221.219.99.74:8005/rtp/239.3.1.113:3003
爱上 4K,http://221.223.18.142:8888/rtp/239.3.1.236:2000
爱上 4K,http://221.219.99.74:8005/rtp/239.3.1.236:2000
山西4K组播,#genre#
北京卫视 4K,http://60.223.72.92:8005/rtp/226.0.2.155:9172
北京卫视 4K,http://60.223.72.92:8003/rtp/226.0.2.155:9172
东方卫视 4K,http://60.223.72.92:8005/rtp/226.0.1.248:2121
东方卫视 4K,http://60.223.72.92:8003/rtp/226.0.1.248:2121
广东卫视 4K,http://60.223.72.92:8005/rtp/226.0.1.245:2120
广东卫视 4K,http://60.223.72.92:8003/rtp/226.0.1.245:2120
深圳卫视 4K,http://60.223.72.92:8005/rtp/226.0.1.244:2119
深圳卫视 4K,http://60.223.72.92:8003/rtp/226.0.1.244:2119
湖南卫视 4K,http://60.223.72.92:8005/rtp/226.0.1.246:2125
湖南卫视 4K,http://60.223.72.92:8003/rtp/226.0.1.246:2125
山东卫视 4K,http://60.223.72.92:8005/rtp/226.0.1.251:2124
山东卫视 4K,http://60.223.72.92:8003/rtp/226.0.1.251:2124
四川卫视 4K,http://60.223.72.92:8005/rtp/226.0.1.250:2126
四川卫视 4K,http://60.223.72.92:8003/rtp/226.0.1.250:2126
浙江卫视 4K,http://60.223.72.92:8005/rtp/226.0.1.247:2123
浙江卫视 4K,http://60.223.72.92:8003/rtp/226.0.1.247:2123
江苏卫视 4K,http://60.223.72.92:8005/rtp/226.0.1.249:2122
江苏卫视 4K,http://60.223.72.92:8003/rtp/226.0.1.249:2122
河北4K组播,#genre#
欢笑剧场 4K,http://120.6.110.111:8088/rtp/239.253.93.223:6401
频道 4K,http://120.6.110.111:8088/rtp/239.253.92.114:6187
主视角- 4K,http://120.6.110.111:8088/rtp/239.253.93.123:6291
辽宁4K组播,#genre#
欢笑剧场 4K,http://119.118.135.206:8089/rtp/232.0.0.98:1234
爱上 4K,http://119.118.135.206:8089/rtp/232.0.0.187:1234
重庆4K组播,#genre#
北京卫视 4K,http://27.11.48.49:8008/rtp/225.0.4.122:7980
北京卫视 4K,http://27.11.48.49:8009/rtp/225.0.4.122:7980
东方卫视 4K,http://27.11.48.49:8008/rtp/225.0.4.103:7980
东方卫视 4K,http://27.11.48.49:8009/rtp/225.0.4.103:7980
广东卫视 4K,http://27.11.48.49:8008/rtp/225.0.4.102:7980
广东卫视 4K,http://27.11.48.49:8009/rtp/225.0.4.102:7980
深圳卫视 4K,http://27.11.48.49:8008/rtp/225.0.4.101:7980
深圳卫视 4K,http://27.11.48.49:8009/rtp/225.0.4.101:7980
湖南卫视 4K,http://27.11.48.49:8008/rtp/225.0.4.107:7980
湖南卫视 4K,http://27.11.48.49:8009/rtp/225.0.4.107:7980
山东卫视 4K,http://27.11.48.49:8008/rtp/225.0.4.106:7980
山东卫视 4K,http://27.11.48.49:8009/rtp/225.0.4.106:7980
四川卫视 4K,http://27.11.48.49:8008/rtp/225.0.4.108:7980
四川卫视 4K,http://27.11.48.49:8009/rtp/225.0.4.108:7980
浙江卫视 4K,http://27.11.48.49:8008/rtp/225.0.4.105:7980
浙江卫视 4K,http://27.11.48.49:8009/rtp/225.0.4.105:7980
江苏卫视 4K,http://27.11.48.49:8008/rtp/225.0.4.104:7980
江苏卫视 4K,http://27.11.48.49:8009/rtp/225.0.4.104:7980
爱上4K(轮播频道),http://27.11.48.49:8008/rtp/225.0.4.226:7980
爱上4K(轮播频道),http://27.11.48.49:8009/rtp/225.0.4.226:7980
