内蒙古组播,#genre#
CCTV1,http://116.114.141.15:8686/rtp/239.125.2.66:4120
CCTV1,http://116.114.141.15:8686/rtp/239.125.1.177:4130
CCTV1,http://1.30.47.10:7000/rtp/239.125.2.66:4120
CCTV1,http://1.30.47.10:7000/rtp/239.125.1.177:4130
CCTV2,http://116.114.141.15:8686/rtp/239.125.2.65:4120
CCTV2,http://116.114.141.15:8686/rtp/239.125.1.118:4130
CCTV2,http://1.30.47.10:7000/rtp/239.125.2.65:4120
CCTV2,http://1.30.47.10:7000/rtp/239.125.1.118:4130
CCTV3,http://116.114.141.15:8686/rtp/239.125.2.52:4120
CCTV3,http://1.30.47.10:7000/rtp/239.125.2.52:4120
CCTV4,http://116.114.141.15:8686/rtp/239.125.2.64:4120
CCTV4,http://116.114.141.15:8686/rtp/239.125.1.141:4130
CCTV4,http://1.30.47.10:7000/rtp/239.125.2.64:4120
CCTV4,http://1.30.47.10:7000/rtp/239.125.1.141:4130
CCTV4欧洲 HD,http://116.114.141.15:8686/rtp/239.125.2.196:4120
CCTV4欧洲 HD,http://1.30.47.10:7000/rtp/239.125.2.196:4120
CCTV4美洲 HD,http://116.114.141.15:8686/rtp/239.125.2.197:4120
CCTV4美洲 HD,http://1.30.47.10:7000/rtp/239.125.2.197:4120
CCTV5,http://116.114.141.15:8686/rtp/239.125.2.54:4120
CCTV5,http://1.30.47.10:7000/rtp/239.125.2.54:4120
CCTV5+ HD,http://116.114.141.15:8686/rtp/239.125.1.57:5000
CCTV5+ HD,http://1.30.47.10:7000/rtp/239.125.1.57:5000
CCTV6,http://116.114.141.15:8686/rtp/239.125.2.56:4120
CCTV6,http://1.30.47.10:7000/rtp/239.125.2.56:4120
CCTV7,http://116.114.141.15:8686/rtp/239.125.2.63:4120
CCTV7,http://116.114.141.15:8686/rtp/239.125.1.131:4130
CCTV7,http://1.30.47.10:7000/rtp/239.125.2.63:4120
CCTV7,http://1.30.47.10:7000/rtp/239.125.1.131:4130
CCTV8,http://116.114.141.15:8686/rtp/239.125.2.58:4120
CCTV8,http://1.30.47.10:7000/rtp/239.125.2.58:4120
CCTV9,http://116.114.141.15:8686/rtp/239.125.2.62:4120
CCTV9,http://116.114.141.15:8686/rtp/239.125.1.142:4130
CCTV9,http://1.30.47.10:7000/rtp/239.125.2.62:4120
CCTV9,http://1.30.47.10:7000/rtp/239.125.1.142:4130
CCTV10,http://116.114.141.15:8686/rtp/239.125.2.61:4120
CCTV10,http://116.114.141.15:8686/rtp/239.125.1.143:4130
CCTV10,http://1.30.47.10:7000/rtp/239.125.2.61:4120
CCTV10,http://1.30.47.10:7000/rtp/239.125.1.143:4130
CCTV11,http://116.114.141.15:8686/rtp/239.125.1.101:4120
CCTV11,http://116.114.141.15:8686/rtp/239.125.1.134:4130
CCTV11,http://1.30.47.10:7000/rtp/239.125.1.101:4120
CCTV11,http://1.30.47.10:7000/rtp/239.125.1.134:4130
CCTV12,http://116.114.141.15:8686/rtp/239.125.2.60:4120
CCTV12,http://116.114.141.15:8686/rtp/239.125.1.161:4130
CCTV12,http://1.30.47.10:7000/rtp/239.125.2.60:4120
CCTV12,http://1.30.47.10:7000/rtp/239.125.1.161:4130
CCTV13,http://116.114.141.15:8686/rtp/239.125.1.53:4120
CCTV13,http://1.30.47.10:7000/rtp/239.125.1.53:4120
CCTV14,http://116.114.141.15:8686/rtp/239.125.2.59:4120
CCTV14,http://116.114.141.15:8686/rtp/239.125.1.162:4130
CCTV14,http://1.30.47.10:7000/rtp/239.125.2.59:4120
CCTV14,http://1.30.47.10:7000/rtp/239.125.1.162:4130
CCTV15,http://116.114.141.15:8686/rtp/239.125.1.102:4120
CCTV15,http://116.114.141.15:8686/rtp/239.125.1.163:4130
CCTV15,http://1.30.47.10:7000/rtp/239.125.1.102:4120
CCTV15,http://1.30.47.10:7000/rtp/239.125.1.163:4130
CCTV16,http://116.114.141.15:8686/rtp/239.125.2.206:4120
CCTV16,http://1.30.47.10:7000/rtp/239.125.2.206:4120
CCTV17,http://116.114.141.15:8686/rtp/239.125.2.204:4120
CCTV17,http://1.30.47.10:7000/rtp/239.125.2.204:4120
CETV1 HD,http://116.114.141.15:8686/rtp/239.125.1.204:4120
CETV1 HD,http://1.30.47.10:7000/rtp/239.125.1.204:4120
CETV4 HD,http://116.114.141.15:8686/rtp/239.125.1.110:4120
CETV4 HD,http://1.30.47.10:7000/rtp/239.125.1.110:4120
CGTN HD,http://116.114.141.15:8686/rtp/239.125.2.198:4120
CGTN HD,http://1.30.47.10:7000/rtp/239.125.2.198:4120
CGTN纪录 HD,http://116.114.141.15:8686/rtp/239.125.2.199:4120
CGTN纪录 HD,http://1.30.47.10:7000/rtp/239.125.2.199:4120
CGTN阿语 HD,http://116.114.141.15:8686/rtp/239.125.2.202:4120
CGTN阿语 HD,http://1.30.47.10:7000/rtp/239.125.2.202:4120
CGTN俄语 HD,http://116.114.141.15:8686/rtp/239.125.2.203:4120
CGTN俄语 HD,http://1.30.47.10:7000/rtp/239.125.2.203:4120
CGTN西语 HD,http://116.114.141.15:8686/rtp/239.125.2.200:4120
CGTN西语 HD,http://1.30.47.10:7000/rtp/239.125.2.200:4120
CGTN法语 HD,http://116.114.141.15:8686/rtp/239.125.2.201:4120
CGTN法语 HD,http://1.30.47.10:7000/rtp/239.125.2.201:4120
金鹰纪实 HD,http://116.114.141.15:8686/rtp/239.125.2.106:4134
金鹰纪实 HD,http://1.30.47.10:7000/rtp/239.125.2.106:4134
重庆卫视 HD,http://116.114.141.15:8686/rtp/239.125.2.102:4130
重庆卫视 HD,http://1.30.47.10:7000/rtp/239.125.2.102:4130
江苏卫视,http://116.114.141.15:8686/rtp/239.125.2.69:4120
江苏卫视,http://116.114.141.15:8686/rtp/239.125.1.172:4130
江苏卫视,http://1.30.47.10:7000/rtp/239.125.2.69:4120
江苏卫视,http://1.30.47.10:7000/rtp/239.125.1.172:4130
浙江卫视,http://116.114.141.15:8686/rtp/239.125.2.68:4120
浙江卫视,http://116.114.141.15:8686/rtp/239.125.1.159:4130
浙江卫视,http://1.30.47.10:7000/rtp/239.125.2.68:4120
浙江卫视,http://1.30.47.10:7000/rtp/239.125.1.159:4130
东方卫视,http://116.114.141.15:8686/rtp/239.125.2.82:4120
